index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,,,3,3,,
3,2,,,,3,,,
4,,,10,,,,3,
5,,6,11,,,3,3,
6,5,,12,,3,,3,
7,,8,13,1,,3,3,3
8,7,,14,,3,,3,
9,,10,15,,,3,3,
10,9,11,16,4,3,3,3,3
11,10,12,,5,3,3,,3
12,11,,18,6,3,,3,3
13,,,,7,,,,3
14,,15,,8,,3,,3
15,14,,21,9,3,,3,3
16,,17,,10,,3,,3
17,16,,23,,3,,3,
18,,,,12,,,,3
19,,20,,,,3,,
20,19,21,,,3,3,,
21,20,,27,15,3,,3,3
22,,23,,,,4,,
23,22,24,29,17,4,3,3,3
24,23,,,,3,,,
25,,26,,,,3,,
26,25,27,32,,3,3,3,
27,26,28,33,21,3,3,3,3
28,27,29,34,,3,3,3,
29,28,30,35,23,3,3,3,3
30,29,,36,,3,,3,
31,,32,,,,3,,
32,31,33,38,26,3,3,3,3
33,32,34,39,27,3,3,3,3
34,33,,,28,3,,,3
35,,,41,29,,,3,3
36,,,42,30,,,3,3
37,,,43,,,,3,
38,,,44,32,,,3,3
39,,,45,33,,,3,3
40,,41,,,,3,,
41,40,,47,35,3,,3,3
42,,,48,36,,,3,3
43,,44,,37,,3,,3
44,43,45,,38,3,3,,3
45,44,,,39,3,,,3
46,,47,,,,3,,
47,46,,,41,3,,,3
48,,,,42,,,,3
